__dofile__("./script/btl_SEDefine.txt"); //ＳＥ定数

SeList_Table <-
{
	TableNum = 1, // SEセレクトとかでのプログラム側参照用、テーブル最大値を入れておく
	UseTable = 0, // 何番目のテーブルを使うか	
	Path = [], // パス設定簡略化用
	Status = [], // 実際に再生時に使われる配列
};

SeList_Table.Path.append( "./se/normal_se/" ); // 0:汎用SE
SeList_Table.Path.append( "./se/battle_se/chr009/" ); // 1:キャラ音声
SeList_Table.Path.append( "./se/battle_se/" ); // 2:バトルSE

SeList_Table.Status.resize(500); // てきとう
local st = SeList_Table.Status; // 登録しやすいように

st[0] = { volumetype=0, path=2, file="SE_ClothesSwing1", type=0, category=-1, }; 
st[1] = { volumetype=0, path=2, file="SE_ClothesSwing2", type=0, category=-1, }; 

st[10] = { volumetype=0, path=2, file="SE_DrawnSword", type=0, category=-1, };  //抜刀
st[11] = { volumetype=0, path=2, file="SE_SheatheSword", type=0, category=-1, };  //納刀

st[20] = { volumetype=0, path=2, file="SE_BigBomb", type=1, category=-1, };  //IWX最後のフラッシュ
st[21] = { volumetype=0, path=2, file="SE_VanishVit", type=1, category=-1, };  //IWX 目が光る
st[22] = { volumetype=0, path=2, file="SE_ClothesSwing2", type=1, category=-1, }; //おいてくる反物

st[23] = { volumetype=0, path=2, file="SE_CoilRound", type=1, category=-1, }; //★反物が相手を拘束する時 ：しゅるしゅるという衣擦れの音 
st[24] = { volumetype=0, path=2, file="SE_DrawnSword", type=1, category=-1, }; //★斬りエフェクトが出たとき ：シャキンという斬撃音
st[25] = { volumetype=0, path=2, file="SE_ClothesSwing2", type=1, category=-1, }; //切った後の風

// 登場
st[100] = { volumetype=1, path=1, file="yuz_010_b_2000", type=0, category=1, userparam=145 }; // 「よぉーし、覚悟なさーい！」
st[101] = { volumetype=1, path=1, file="yuz_010_b_2001", type=0, category=1, userparam=141 }; // 「お相手……願いましょうか！」
st[102] = { volumetype=1, path=1, file="yuz_010_b_2002", type=0, category=1, userparam=224 }; // 「やれやれ……楽には勝たせてもらえなさそうだ」
st[103] = { volumetype=1, path=1, file="yuz_010_b_2003", type=0, category=1, userparam=231 }; // 「いい目してるねぇ…、オーケーはじめましょう！」
st[104] = { volumetype=1, path=1, file="yuz_010_b_2004", type=0, category=1, userparam=198 }; // 「迷いなんてものは、もう捨てたからね」

// 登場 特殊
// 対セト
st[108] = { volumetype=1, path=1, file="yuz_010_b_2012", type=0, category=1, userparam=139 }; // 「迷い、消えたみたいだね」

// 対ワーグナー
st[110] = { volumetype=1, path=1, file="yuz_010_b_2015", type=0, category=1, userparam=167 }; // 「よろしい、受けて立ちましょう！」

// 対ツルギ
st[112] = { volumetype=1, path=1, file="yuz_010_b_2018", type=0, category=1, userparam=242 }; // 「パワーと防御…か。こりゃ苦労しそうだ（心の声のようにつぶやくイメージです）」

// 対クオン
st[114] = { volumetype=1, path=1, file="yuz_010_b_2021", type=0, category=1, userparam=206 }; // 「だから変える、アンタの運命も」

// ラウンド勝利
st[122] = { volumetype=1, path=1, file="yuz_010_b_2100", type=0, category=1, userparam=95 }; // 「らっくしょう～！（楽勝）」
st[123] = { volumetype=1, path=1, file="yuz_010_b_2101", type=0, category=1, userparam=182 }; // 「かくして！　闇は消え去ったのであった！」
st[124] = { volumetype=1, path=1, file="yuz_010_b_2102", type=0, category=1, userparam=121 }; // 「よっし、絶好調！」
st[125] = { volumetype=1, path=1, file="yuz_010_b_2103", type=0, category=1, userparam=141 }; // 「ま、こーんなところよねぇ～」
